PLAYER_NAME,season,vers_VersatilityRating,vers_MatchupDifficulty,vers_CraftedDPM,TEAM_ABBREVIATION,POSITION
A.J. Lawson,2023-24,39.5,22.8,-0.3 42%,TOR,SG
AJ Green,2023-24,44.6,51.1,0 67%,MIL,SG
AJ Johnson,2023-24,24.7,29.6,-0.8 11%,WAS,SG
Aaron Gordon,2023-24,85.4,64.6,0.5 69%,DEN,PF
Aaron Holiday,2023-24,27.4,49.2,0.6 70%,HOU,PG
Aaron Nesmith,2023-24,55.2,61.4,-0.4 38%,IND,SF
Aaron Wiggins,2023-24,83.4,42.7,-0.2 43%,OKC,SG
Adem Bona,2023-24,15.7,35.2,0.7 78%,PHI,C
Ajay Mitchell,2023-24,46.9,33.3,0.4 68%,OKC,SG
Al Horford,2023-24,76.9,61.4,2.2 94%,BOS,C
Alec Burks,2023-24,32.5,38.4,0.2 60%,MIA,SG
Alex Caruso,2023-24,95.5,73.7,3.9 100%,OKC,PG
Alex Len,2023-24,2.7,26.2,1.1 80%,LAL,C
Alex Sarr,2023-24,4.3,55.5,-0.3 36%,WAS,PF
Alperen Sengun,2023-24,26.5,40.5,1.4 84%,HOU,C
Amen Thompson,2023-24,74.4,84.1,2.4 98%,HOU,SF
Amir Coffey,2023-24,51.3,55.7,-1.2 11%,LAC,SF
Andre Drummond,2023-24,2.9,45.2,0.4 69%,PHI,C
Andre Jackson Jr.,2023-24,40.4,92.7,0 42%,MIL,SF
Andrew Nembhard,2023-24,17.0,100.0,0.6 71%,IND,PG
Andrew Wiggins,2023-24,73.5,84.3,-0.5 36%,MIA,SF
Anfernee Simons,2023-24,44.2,43.3,-2.4 2%,POR,PG
Anthony Black,2023-24,48.9,63.1,1.2 85%,ORL,PG
Anthony Davis,2023-24,12.6,56.4,3.1 98%,DAL,C
Anthony Edwards,2023-24,79.1,55.3,0 58%,MIN,SG
Anthony Gill,2023-24,92.6,30.5,-0.3 41%,WAS,PF
Antonio Reeves,2023-24,33.9,25.1,-1.4 9%,NOP,SG
Ausar Thompson,2023-24,93.0,84.0,2.6 97%,DET,SF
Austin Reaves,2023-24,52.5,62.1,-1 17%,LAL,SG
Ayo Dosunmu,2023-24,34.5,79.2,-1 15%,CHI,SG
Bam Adebayo,2023-24,13.9,60.6,2 93%,MIA,C
Baylor Scheierman,2023-24,50.2,15.3,-0.1 57%,BOS,SG
Ben Sheppard,2023-24,20.2,69.3,-0.6 35%,IND,SG
Ben Simmons,2023-24,89.9,51.0,1.2 81%,LAC,PF
Bennedict Mathurin,2023-24,43.9,53.2,-1.5 8%,IND,SF
Bilal Coulibaly,2023-24,75.1,96.2,-0.9 21%,WAS,SF
Bismack Biyombo,2023-24,1.6,28.6,0.9 80%,SAS,C
Blake Wesley,2023-24,25.8,44.7,0.4 64%,SAS,PG
Bobby Portis,2023-24,37.4,39.1,-0.1 47%,MIL,PF
Bogdan Bogdanović,2023-24,47.5,39.4,-0.1 54%,LAC,SG
Bol Bol,2023-24,64.3,28.8,0.4 66%,PHX,C
Bradley Beal,2023-24,53.6,82.3,-1.6 9%,PHX,SG
Brandin Podziemski,2023-24,59.2,59.3,1.7 89%,GSW,SG
Brandon Boston Jr.,2023-24,55.8,69.0,-0.7 26%,NOP,SG
Brandon Clarke,2023-24,65.9,41.5,1.4 86%,MEM,PF
Brandon Ingram,2023-24,52.2,46.4,-0.7 25%,TOR,SF
Brandon Miller,2023-24,46.6,52.3,-1.2 14%,CHA,SF
Brandon Williams,2023-24,23.3,48.5,-0.7 26%,DAL,PG
Brice Sensabaugh,2023-24,66.6,34.8,-2.7 1%,UTA,SF
Brook Lopez,2023-24,6.5,48.9,2.7 96%,MIL,C
Bruce Brown,2023-24,77.1,57.1,-0.8 24%,NOP,SG
Bub Carrington,2023-24,34.1,58.8,-0.4 35%,WAS,SG
Buddy Hield,2023-24,60.8,49.3,-0.7 27%,GSW,SG
CJ McCollum,2023-24,53.1,53.2,-1.8 4%,NOP,SG
Cade Cunningham,2023-24,85.7,51.9,-0.5 26%,DET,SG
Caleb Houstan,2023-24,50.4,23.4,-0.6 34%,ORL,SG
Caleb Martin,2023-24,88.6,79.8,0.3 63%,DAL,SF
Cam Reddish,2023-24,74.9,78.1,0.5 68%,LAL,SF
Cam Spencer,2023-24,15.5,27.0,-0.8 23%,MEM,SG
Cam Whitmore,2023-24,92.4,36.7,-0.9 12%,HOU,SF
Cameron Johnson,2023-24,72.6,52.4,-0.7 24%,BKN,PF
Cameron Payne,2023-24,23.5,28.8,-0.2 55%,NYK,PG
Caris LeVert,2023-24,61.7,54.9,-0.2 46%,ATL,SF
Cason Wallace,2023-24,52.9,71.9,1.5 86%,OKC,PG
Charles Bassey,2023-24,11.0,44.7,0.7 73%,SAS,C
Chet Holmgren,2023-24,33.6,55.3,3.2 99%,OKC,C
Chris Boucher,2023-24,75.8,30.9,-0.1 51%,TOR,C
Chris Paul,2023-24,54.5,42.0,0.8 74%,SAS,PG
Christian Braun,2023-24,36.3,84.4,0 58%,DEN,SF
Christian Koloko,2023-24,16.1,27.6,1.3 85%,LAL,C
Clint Capela,2023-24,0.4,52.7,1.3 85%,ATL,C
Coby White,2023-24,42.4,42.9,-1.9 4%,CHI,PG
Cody Martin,2023-24,98.2,75.3,1.8 88%,PHX,SF
Cody Williams,2023-24,82.7,56.0,-1.1 16%,UTA,SF
Colby Jones,2023-24,56.3,34.6,0.4 63%,WAS,SG
Cole Anthony,2023-24,28.7,49.4,0.4 66%,ORL,PG
Colin Castleton,2023-24,61.9,17.6,-0.1 44%,,C
Collin Gillespie,2023-24,32.3,55.6,-0.2 30%,PHX,PG
Collin Sexton,2023-24,58.7,60.8,-2.7 1%,UTA,PG
Corey Kispert,2023-24,51.1,33.0,-2.6 1%,WAS,SF
Cory Joseph,2023-24,21.5,48.8,-0.1 55%,ORL,PG
Craig Porter Jr.,2023-24,32.7,35.3,-0.4 37%,CLE,PG
D'Angelo Russell,2023-24,62.3,49.7,-0.2 47%,BKN,PG
DaQuan Jeffries,2023-24,87.9,49.8,-0.4 23%,CHA,SG
Dalano Banton,2023-24,79.8,31.7,-0.3 39%,POR,SG
Dalen Terry,2023-24,48.0,59.9,0.6 76%,CHI,SG
Dalton Knecht,2023-24,66.8,40.0,-2 2%,LAL,SF
Damian Lillard,2023-24,31.8,44.9,-1 19%,MIL,PG
Damion Baugh,2023-24,51.8,68.4,-1 11%,CHA,SG
Daniel Gafford,2023-24,8.3,56.6,1 77%,DAL,C
Daniel Theis,2023-24,5.6,39.5,0.4 68%,,C
Danté Exum,2023-24,85.0,68.4,-0.1 47%,DAL,SG
Dariq Whitehead,2023-24,40.1,18.1,-0.9 12%,BKN,SG
Darius Garland,2023-24,28.0,56.9,-0.9 16%,CLE,PG
David Roddy,2023-24,67.9,38.7,-0.6 26%,HOU,PF
Davion Mitchell,2023-24,17.9,96.1,0.5 73%,MIA,PG
Day'Ron Sharpe,2023-24,9.0,42.6,1.4 86%,BKN,C
De'Aaron Fox,2023-24,35.9,65.4,-0.6 29%,SAS,PG
De'Andre Hunter,2023-24,84.1,62.9,-1.1 13%,CLE,SF
DeAndre Jordan,2023-24,3.1,33.2,0.9 80%,DEN,C
DeMar DeRozan,2023-24,48.7,35.7,-1 16%,SAC,SF
Dean Wade,2023-24,95.3,62.0,2.3 95%,CLE,PF
Deandre Ayton,2023-24,5.2,59.4,0.4 67%,POR,C
Dejounte Murray,2023-24,43.3,84.0,-0.8 22%,NOP,PG
Delon Wright,2023-24,24.4,48.3,2 92%,NYK,PG
Deni Avdija,2023-24,93.9,51.5,0.2 64%,POR,SF
Dennis Schröder,2023-24,25.1,77.9,-0.7 26%,DET,PG
Dereck Lively II,2023-24,19.3,60.4,2.5 97%,DAL,C
Derrick Jones Jr.,2023-24,80.7,83.0,1.1 82%,LAC,PF
Derrick White,2023-24,44.8,64.2,1.6 88%,BOS,SG
Desmond Bane,2023-24,50.7,61.9,0.1 53%,MEM,SG
Devin Booker,2023-24,58.1,56.0,-1.9 3%,PHX,SG
Devin Carter,2023-24,19.1,61.2,-0.1 61%,SAC,SG
Devin Vassell,2023-24,40.6,53.7,-1.3 10%,SAS,SG
Dillon Brooks,2023-24,99.6,83.5,0.5 70%,HOU,SF
Dillon Jones,2023-24,91.7,17.9,0.1 66%,OKC,SF
Domantas Sabonis,2023-24,0.9,55.7,0.9 73%,SAC,C
Dominick Barlow,2023-24,20.0,29.2,-0.4 42%,ATL,PF
Donovan Clingan,2023-24,7.4,39.9,2.2 97%,POR,C
Donovan Mitchell,2023-24,47.3,42.1,0.2 66%,CLE,SG
Donte DiVincenzo,2023-24,35.0,43.5,0.2 56%,MIN,SG
Dorian Finney-Smith,2023-24,100.0,84.5,1.6 87%,LAL,SF
Doug McDermott,2023-24,38.1,27.1,-2.2 2%,SAC,SF
Draymond Green,2023-24,65.0,57.3,4.5 100%,GSW,PF
Drew Eubanks,2023-24,9.4,36.4,0.9 75%,LAC,C
Dru Smith,2023-24,20.4,62.0,1.3 84%,MIA,SG
Duncan Robinson,2023-24,37.7,32.2,-0.7 25%,MIA,SF
Duop Reath,2023-24,26.0,29.8,-0.8 20%,POR,C
Dwight Powell,2023-24,30.9,35.8,2.2 92%,DAL,C
Dyson Daniels,2023-24,44.4,95.6,1.8 91%,ATL,SG
Elfrid Payton,2023-24,50.9,44.5,0 51%,NOP,PG
Eric Gordon,2023-24,77.4,45.9,-0.9 20%,PHI,SG
Evan Mobley,2023-24,63.9,49.3,2.2 94%,CLE,PF
Franz Wagner,2023-24,64.8,61.0,0.9 79%,ORL,SF
Fred VanVleet,2023-24,30.0,74.0,1.9 91%,HOU,PG
GG Jackson,2023-24,84.8,50.9,-1.6 7%,MEM,PF
Gabe Vincent,2023-24,45.1,66.3,0.2 59%,LAL,SG
Garrison Mathews,2023-24,33.2,34.1,-0.5 32%,ATL,SG
Gary Harris,2023-24,22.9,53.7,1.1 81%,ORL,SG
Gary Payton II,2023-24,32.1,88.1,1.3 84%,GSW,SG
Georges Niang,2023-24,74.2,34.6,-1.2 8%,ATL,PF
Giannis Antetokounmpo,2023-24,56.5,48.2,2.3 96%,MIL,PF
Goga Bitadze,2023-24,6.3,43.6,2.8 98%,ORL,C
Gradey Dick,2023-24,36.1,50.3,-1.8 6%,TOR,SG
Grant Williams,2023-24,41.0,64.9,0.2 62%,CHA,PF
Grayson Allen,2023-24,40.8,44.7,-0.7 23%,PHX,SG
Guerschon Yabusele,2023-24,22.6,50.2,-0.9 19%,PHI,PF
Gui Santos,2023-24,89.0,42.0,0.5 70%,GSW,PF
Harrison Barnes,2023-24,68.4,58.0,-1.7 7%,SAS,PF
Haywood Highsmith,2023-24,83.6,79.9,1.6 86%,MIA,SF
Herbert Jones,2023-24,94.2,72.2,2.7 97%,NOP,SF
Hunter Tyson,2023-24,71.3,26.1,-0.8 22%,DEN,PF
Immanuel Quickley,2023-24,19.5,54.5,-0.1 51%,TOR,PG
Isaac Jones,2023-24,65.7,36.8,-1 18%,SAC,PF
Isaac Okoro,2023-24,78.3,70.5,0.8 77%,CLE,SF
Isaiah Collier,2023-24,49.3,62.1,-1.3 9%,UTA,PG
Isaiah Hartenstein,2023-24,9.2,55.9,3 99%,OKC,C
Isaiah Joe,2023-24,39.0,37.9,0.1 60%,OKC,SG
Isaiah Stewart,2023-24,4.5,47.6,2.1 94%,DET,C
Isaiah Wong,2023-24,18.2,53.8,-0.2 46%,,SG
Ivica Zubac,2023-24,7.6,53.9,3.1 99%,LAC,C
Ja Morant,2023-24,37.9,58.3,0.1 48%,MEM,PG
Ja'Kobe Walter,2023-24,24.0,47.3,-0.7 33%,TOR,PG
Jabari Smith Jr.,2023-24,94.4,44.6,0.1 60%,HOU,PF
Jabari Walker,2023-24,70.9,27.3,0.1 59%,POR,PF
Jaden Hardy,2023-24,60.5,39.7,-1.8 3%,DAL,SG
Jaden Ivey,2023-24,27.8,75.9,-1.8 5%,DET,SG
Jaden McDaniels,2023-24,89.2,86.1,1.7 88%,MIN,SF
Jaden Springer,2023-24,56.7,41.7,0.9 74%,UTA,SG
Jae'Sean Tate,2023-24,99.3,37.0,2.1 93%,HOU,PF
Jaime Jaquez Jr.,2023-24,94.8,45.1,0.1 50%,MIA,SF
Jake LaRavia,2023-24,55.6,51.6,0.2 64%,SAC,SF
Jakob Poeltl,2023-24,1.8,61.5,2.4 96%,TOR,C
Jakob Pöltl,2023-24,3.0,48.0,1.2 81%,,C
Jalen Brunson,2023-24,33.0,39.4,-1.5 7%,NYK,PG
Jalen Duren,2023-24,3.4,53.1,1.1 77%,DET,C
Jalen Green,2023-24,43.0,48.4,-1.7 5%,HOU,SG
Jalen Hood-Schifino,2023-24,53.4,35.8,-0.9 10%,PHI,PG
Jalen Johnson,2023-24,27.6,53.1,1.8 90%,ATL,PF
Jalen Pickett,2023-24,47.8,41.1,0 52%,DEN,PG
Jalen Smith,2023-24,11.2,39.1,0.1 60%,CHI,PF
Jalen Suggs,2023-24,38.6,76.8,2.2 93%,ORL,PG
Jalen Williams,2023-24,98.7,55.9,1.2 81%,OKC,SG
Jalen Wilson,2023-24,83.9,52.2,-1.2 15%,BKN,SF
Jamal Cain,2023-24,86.8,41.1,-0.4 31%,NOP,SF
Jamal Murray,2023-24,60.1,55.0,-1.2 15%,DEN,PG
Jamal Shead,2023-24,15.9,57.4,-1.3 12%,TOR,PG
James Harden,2023-24,89.7,53.0,0.4 70%,LAC,SG
Jamison Battle,2023-24,23.8,27.3,-1.5 8%,TOR,SF
Jarace Walker,2023-24,67.5,44.3,0.2 63%,IND,PF
Jared Butler,2023-24,48.2,38.9,-0.6 29%,PHI,SG
Jared McCain,2023-24,67.0,49.1,-1.8 4%,PHI,SG
Jaren Jackson Jr.,2023-24,62.6,51.3,2.1 93%,MEM,PF
Jarred Vanderbilt,2023-24,99.8,69.3,1.7 87%,LAL,PF
Jarrett Allen,2023-24,9.6,54.5,2.3 94%,CLE,C
Javonte Green,2023-24,94.6,67.4,0.7 77%,CLE,SF
Jaxson Hayes,2023-24,14.6,42.8,2.1 92%,LAL,C
Jay Huff,2023-24,22.4,31.0,0.2 66%,MEM,C
Jaylen Brown,2023-24,90.4,69.8,-0.7 22%,BOS,SF
Jaylen Clark,2023-24,59.6,73.3,0.1 59%,MIN,SG
Jaylen Wells,2023-24,24.9,96.4,-1.3 12%,MEM,SF
Jaylin Williams,2023-24,15.0,27.8,1.7 90%,OKC,C
Jaylon Tyson,2023-24,69.7,22.8,-0.6 33%,CLE,SG
Jayson Tatum,2023-24,97.1,50.2,0.7 72%,BOS,SF
Jeff Dowtin Jr.,2023-24,58.5,41.2,-0.8 25%,PHI,PG
Jeff Green,2023-24,93.5,41.4,-1.2 10%,HOU,PF
Jerami Grant,2023-24,83.0,75.8,-0.5 36%,POR,PF
Jeremiah Robinson-Earl,2023-24,86.3,38.8,-1.3 10%,NOP,PF
Jeremy Sochan,2023-24,99.1,88.0,-0.3 44%,SAS,PF
Jericho Sims,2023-24,7.8,31.1,0.8 75%,MIL,C
Jett Howard,2023-24,38.8,28.3,-1 14%,ORL,SF
Jevon Carter,2023-24,16.4,58.3,0.3 62%,CHI,PG
Jimmy Butler III,2023-24,89.5,66.0,0.9 80%,GSW,SF
Jock Landale,2023-24,30.5,26.3,0.9 77%,HOU,C
Joel Embiid,2023-24,15.2,40.4,2.2 95%,PHI,C
John Collins,2023-24,91.5,52.7,0.1 62%,UTA,PF
John Konchar,2023-24,54.7,47.1,1.7 87%,MEM,SF
Johnny Davis,2023-24,70.6,42.8,0.1 53%,,SG
Johnny Furphy,2023-24,35.2,13.4,0.6 70%,IND,SF
Johnny Juzang,2023-24,67.3,48.9,-1.4 6%,UTA,SG
