AGE,VersatilityRating,MatchupDifficulty,CraftedDPM,PLAYER_NAME,TEAM_ABBREVIATION,POSITION,source,season
31,100.0,84.5,1.6 87%,Dorian Finney-Smith,LAL,SF,craftednba,2024-25
25,99.8,69.3,1.7 87%,Jarred Vanderbilt,LAL,PF,craftednba,2024-25
29,99.6,83.5,0.5 70%,Dillon Brooks,HOU,SF,craftednba,2024-25
29,99.3,37.0,2.1 93%,Jae'Sean Tate,HOU,PF,craftednba,2024-25
21,99.1,88.0,-0.3 44%,Jeremy Sochan,SAS,PF,craftednba,2024-25
24,98.9,54.7,-0.2 46%,Kessler Edwards,DAL,SF,craftednba,2024-25
23,98.7,55.9,1.2 81%,Jalen Williams,OKC,SG,craftednba,2024-25
23,98.4,63.1,2.5 96%,Tari Eason,HOU,PF,craftednba,2024-25
29,98.2,75.3,1.8 88%,Cody Martin,PHX,SF,craftednba,2024-25
22,98.0,47.7,-0.1 50%,Olivier-Maxence Prosper,DAL,PF,craftednba,2024-25
20,97.8,21.9,0.9 74%,Jordan Walsh,BOS,SF,craftednba,2024-25
30,97.5,39.0,1.7 89%,Kenrich Williams,OKC,SF,craftednba,2024-25
23,97.3,56.5,0.2 61%,Justin Champagnie,WAS,SF,craftednba,2024-25
26,97.1,50.2,0.7 72%,Jayson Tatum,BOS,SF,craftednba,2024-25
36,96.9,49.8,2.1 92%,Nicolas Batum,LAC,SF,craftednba,2024-25
29,96.6,72.2,-0.6 31%,Kelly Oubre Jr.,PHI,SF,craftednba,2024-25
27,96.4,66.2,0 50%,Naji Marshall,DAL,SF,craftednba,2024-25
26,96.2,76.5,1.1 78%,P.J. Washington,DAL,PF,craftednba,2024-25
22,96.0,69.5,1.1 79%,Peyton Watson,DEN,SF,craftednba,2024-25
27,95.7,67.2,-1 20%,Lauri Markkanen,UTA,PF,craftednba,2024-25
30,95.5,73.7,3.9 100%,Alex Caruso,OKC,PG,craftednba,2024-25
28,95.3,62.0,2.3 95%,Dean Wade,CLE,PF,craftednba,2024-25
34,95.1,52.2,-0.7 34%,Torrey Craig,BOS,PF,craftednba,2024-25
23,94.8,45.1,0.1 50%,Jaime Jaquez Jr.,MIA,SF,craftednba,2024-25
31,94.6,67.4,0.7 77%,Javonte Green,CLE,SF,craftednba,2024-25
21,94.4,44.6,0.1 60%,Jabari Smith Jr.,HOU,PF,craftednba,2024-25
26,94.2,72.2,2.7 97%,Herbert Jones,NOP,SF,craftednba,2024-25
24,93.9,51.5,0.2 64%,Deni Avdija,POR,SF,craftednba,2024-25
24,93.7,35.5,-0.1 45%,Trendon Watford,BKN,PF,craftednba,2024-25
38,93.5,41.4,-1.2 10%,Jeff Green,HOU,PF,craftednba,2024-25
23,93.3,39.4,0 53%,Tosan Evbuomwan,BKN,SF,craftednba,2024-25
22,93.0,84.0,2.6 97%,Ausar Thompson,DET,SF,craftednba,2024-25
24,92.8,45.2,1.2 82%,Zeke Nnaji,DEN,PF,craftednba,2024-25
32,92.6,30.5,-0.3 41%,Anthony Gill,WAS,PF,craftednba,2024-25
20,92.4,36.7,-0.9 12%,Cam Whitmore,HOU,SF,craftednba,2024-25
24,92.2,94.3,1.9 92%,Toumani Camara,POR,PF,craftednba,2024-25
33,91.9,62.6,0.7 75%,Maxi Kleber,LAL,C,craftednba,2024-25
23,91.7,17.9,0.1 66%,Dillon Jones,OKC,SF,craftednba,2024-25
27,91.5,52.7,0.1 62%,John Collins,UTA,PF,craftednba,2024-25
20,91.3,44.2,-0.6 28%,Noah Clowney,BKN,PF,craftednba,2024-25
26,91.0,76.6,2 94%,Josh Okogie,CHA,SF,craftednba,2024-25
22,90.8,89.9,-0.1 54%,Ryan Dunn,PHX,PF,craftednba,2024-25
23,90.6,38.0,-0.6 28%,Tristan da Silva,ORL,PF,craftednba,2024-25
28,90.4,69.8,-0.7 22%,Jaylen Brown,BOS,SF,craftednba,2024-25
31,90.1,42.2,1.5 88%,Kyle Anderson,MIA,PF,craftednba,2024-25
28,89.9,51.0,1.2 81%,Ben Simmons,LAC,PF,craftednba,2024-25
35,89.7,53.0,0.4 70%,James Harden,LAC,SG,craftednba,2024-25
35,89.5,66.0,0.9 80%,Jimmy Butler III,GSW,SF,craftednba,2024-25
24,89.2,86.1,1.7 88%,Jaden McDaniels,MIN,SF,craftednba,2024-25
22,89.0,42.0,0.5 70%,Gui Santos,GSW,PF,craftednba,2024-25
24,88.8,81.2,0.1 67%,Keegan Murray,SAC,PF,craftednba,2024-25
29,88.6,79.8,0.3 63%,Caleb Martin,DAL,SF,craftednba,2024-25
21,88.3,43.6,0.7 74%,Nikola Jović,MIA,PF,craftednba,2024-25
40,88.1,49.9,0.1 57%,LeBron James,LAL,PF,craftednba,2024-25
27,87.9,49.8,-0.4 23%,DaQuan Jeffries,CHA,SG,craftednba,2024-25
23,87.7,50.8,0.8 78%,Jonathan Mogbo,TOR,PF,craftednba,2024-25
26,87.4,63.7,0.1 59%,Rui Hachimura,LAL,PF,craftednba,2024-25
33,87.2,52.4,1.7 90%,Kawhi Leonard,LAC,SF,craftednba,2024-25
24,87.0,41.2,0.7 78%,Kris Murray,POR,PF,craftednba,2024-25
25,86.8,41.1,-0.4 31%,Jamal Cain,NOP,SF,craftednba,2024-25
25,86.5,44.3,1.2 83%,Luka Dončić,LAL,SF,craftednba,2024-25
24,86.3,38.8,-1.3 10%,Jeremiah Robinson-Earl,NOP,PF,craftednba,2024-25
24,86.1,81.7,0 54%,Ochai Agbaji,TOR,SG,craftednba,2024-25
26,85.9,54.0,1 77%,Jordan Goodwin,LAL,PG,craftednba,2024-25
23,85.7,51.9,-0.5 26%,Cade Cunningham,DET,SG,craftednba,2024-25
29,85.4,64.6,0.5 69%,Aaron Gordon,DEN,PF,craftednba,2024-25
34,85.2,79.9,1.4 87%,Jrue Holiday,BOS,PG,craftednba,2024-25
29,85.0,68.4,-0.1 47%,Danté Exum,DAL,SG,craftednba,2024-25
20,84.8,50.9,-1.6 7%,GG Jackson,MEM,PF,craftednba,2024-25
24,84.5,65.8,-1 18%,Trey Murphy III,NOP,SF,craftednba,2024-25
21,84.3,53.3,0.6 74%,Kyshawn George,WAS,SF,craftednba,2024-25
27,84.1,62.9,-1.1 13%,De'Andre Hunter,CLE,SF,craftednba,2024-25
24,83.9,52.2,-1.2 15%,Jalen Wilson,BKN,SF,craftednba,2024-25
28,83.6,79.9,1.6 86%,Haywood Highsmith,MIA,SF,craftednba,2024-25
26,83.4,42.7,-0.2 43%,Aaron Wiggins,OKC,SG,craftednba,2024-25
20,83.2,44.4,0 55%,Matas Buzelis,CHI,PF,craftednba,2024-25
30,83.0,75.8,-0.5 36%,Jerami Grant,POR,PF,craftednba,2024-25
20,82.7,56.0,-1.1 16%,Cody Williams,UTA,SF,craftednba,2024-25
31,82.5,66.0,0.7 69%,Royce O'Neale,PHX,SF,craftednba,2024-25
24,82.3,50.1,-0.6 21%,KJ Martin,UTA,SF,craftednba,2024-25
26,82.1,36.9,-0.1 44%,Micah Potter,UTA,C,craftednba,2024-25
21,81.8,58.4,-1.9 2%,Justin Edwards,PHI,SF,craftednba,2024-25
19,81.6,36.4,0 41%,Tidjane Salaün,CHA,PF,craftednba,2024-25
25,81.4,43.5,-2.1 3%,Keldon Johnson,SAS,SF,craftednba,2024-25
25,81.2,96.8,1.2 82%,Luguentz Dort,OKC,SG,craftednba,2024-25
23,80.9,71.8,-0.3 43%,Ziaire Williams,BKN,SF,craftednba,2024-25
27,80.7,83.0,1.1 82%,Derrick Jones Jr.,LAC,PF,craftednba,2024-25
34,80.5,46.6,-0.6 31%,Reggie Jackson,,PG,craftednba,2024-25
34,80.3,48.8,1.6 88%,Paul George,PHI,SF,craftednba,2024-25
23,80.0,39.2,-1.2 13%,Ricky Council IV,PHI,SG,craftednba,2024-25
25,79.8,31.7,-0.3 39%,Dalano Banton,POR,SG,craftednba,2024-25
21,79.6,20.5,0.3 65%,Ousmane Dieng,OKC,SF,craftednba,2024-25
22,79.4,23.9,1 79%,Josh Minott,MIN,PF,craftednba,2024-25
23,79.1,55.3,0 58%,Anthony Edwards,MIN,SG,craftednba,2024-25
24,78.9,37.0,-0.6 29%,Talen Horton-Tucker,CHI,SG,craftednba,2024-25
25,78.7,22.7,0.2 48%,Sandro Mamukelashvili,SAS,PF,craftednba,2024-25
29,78.5,44.1,0.2 62%,Trey Lyles,SAC,PF,craftednba,2024-25
24,78.3,70.5,0.8 77%,Isaac Okoro,CLE,SF,craftednba,2024-25
19,78.0,42.7,0.2 61%,Ronald Holland II,DET,SG,craftednba,2024-25
36,77.8,65.6,-0.8 19%,Russell Westbrook,DEN,PG,craftednba,2024-25
26,77.6,43.8,1.8 89%,Shai Gilgeous-Alexander,OKC,PG,craftednba,2024-25
36,77.4,45.9,-0.9 20%,Eric Gordon,PHI,SG,craftednba,2024-25
28,77.1,57.1,-0.8 24%,Bruce Brown,NOP,SG,craftednba,2024-25
38,76.9,61.4,2.2 94%,Al Horford,BOS,C,craftednba,2024-25
29,76.7,50.2,1.2 83%,Josh Hart,NYK,SF,craftednba,2024-25
19,76.5,50.0,-1.7 3%,Zaccharie Risacher,ATL,SF,craftednba,2024-25
30,76.2,65.2,-0.3 35%,Taurean Prince,MIL,SF,craftednba,2024-25
23,76.0,65.4,1 80%,Scottie Barnes,TOR,SF,craftednba,2024-25
32,75.8,30.9,-0.1 51%,Chris Boucher,TOR,C,craftednba,2024-25
23,75.6,57.0,-0.6 27%,Julian Champagnie,SAS,SF,craftednba,2024-25
24,75.3,47.8,0.2 49%,Santi Aldama,MEM,PF,craftednba,2024-25
20,75.1,96.2,-0.9 21%,Bilal Coulibaly,WAS,SF,craftednba,2024-25
25,74.9,78.1,0.5 68%,Cam Reddish,LAL,SF,craftednba,2024-25
22,74.7,58.4,0.1 63%,Moses Moody,GSW,SG,craftednba,2024-25
22,74.4,84.1,2.4 98%,Amen Thompson,HOU,SF,craftednba,2024-25
31,74.2,34.6,-1.2 8%,Georges Niang,ATL,PF,craftednba,2024-25
22,74.0,22.5,-0.4 27%,Maxwell Lewis,BKN,SG,craftednba,2024-25
29,73.8,64.3,-1 12%,Kyle Kuzma,MIL,PF,craftednba,2024-25
29,73.5,84.3,-0.5 36%,Andrew Wiggins,MIA,SF,craftednba,2024-25
30,73.3,86.8,2.9 98%,Kris Dunn,LAC,PG,craftednba,2024-25
26,73.1,41.4,-0.7 23%,Michael Porter Jr.,DEN,PF,craftednba,2024-25
25,72.9,32.4,-0.6 26%,Jordan Miller,LAC,SF,craftednba,2024-25
28,72.6,52.4,-0.7 24%,Cameron Johnson,BKN,PF,craftednba,2024-25
25,72.4,31.1,0.8 76%,Neemias Queta,BOS,C,craftednba,2024-25
25,72.2,25.0,-0.1 47%,Kobe Brown,LAC,PF,craftednba,2024-25
24,72.0,50.3,0.2 67%,Kevin Porter Jr.,MIL,SG,craftednba,2024-25
27,71.7,52.2,-0.6 20%,Svi Mykhailiuk,UTA,SG,craftednba,2024-25
23,71.5,30.0,-0.4 33%,Wendell Moore Jr.,CHA,SG,craftednba,2024-25
24,71.3,26.1,-0.8 22%,Hunter Tyson,DEN,PF,craftednba,2024-25
22,71.1,51.4,-0.5 36%,Josh Giddey,CHI,SF,craftednba,2024-25
22,70.9,27.3,0.1 59%,Jabari Walker,POR,PF,craftednba,2024-25
22,70.6,42.8,0.1 53%,Johnny Davis,,SG,craftednba,2024-25
21,70.4,42.5,-0.1 61%,Julian Phillips,CHI,SF,craftednba,2024-25
30,70.2,66.1,0.7 75%,Marcus Smart,WAS,PG,craftednba,2024-25
29,70.0,36.0,-0.5 31%,Simone Fontecchio,DET,PF,craftednba,2024-25
22,69.7,22.8,-0.6 33%,Jaylon Tyson,CLE,SG,craftednba,2024-25
31,69.5,51.5,-1 16%,Spencer Dinwiddie,DAL,PG,craftednba,2024-25
28,69.3,56.3,-1.3 9%,Terance Mann,ATL,SF,craftednba,2024-25
32,69.1,38.2,-0.3 34%,Pat Connaughton,MIL,SG,craftednba,2024-25
22,68.8,56.6,-0.5 38%,Jonathan Kuminga,GSW,SF,craftednba,2024-25
25,68.6,40.1,1.4 81%,Naz Reid,MIN,C,craftednba,2024-25
32,68.4,58.0,-1.7 7%,Harrison Barnes,SAS,PF,craftednba,2024-25
27,68.2,49.5,3 99%,Jonathan Isaac,ORL,PF,craftednba,2024-25
23,67.9,38.7,-0.6 26%,David Roddy,HOU,PF,craftednba,2024-25
34,67.7,57.6,-1.6 6%,Klay Thompson,DAL,SG,craftednba,2024-25
21,67.5,44.3,0.2 63%,Jarace Walker,IND,PF,craftednba,2024-25
23,67.3,48.9,-1.4 6%,Johnny Juzang,UTA,SG,craftednba,2024-25
20,67.0,49.1,-1.8 4%,Jared McCain,PHI,SG,craftednba,2024-25
23,66.8,40.0,-2 2%,Dalton Knecht,LAL,SF,craftednba,2024-25
21,66.6,34.8,-2.7 1%,Brice Sensabaugh,UTA,SF,craftednba,2024-25
33,66.4,41.0,0.9 75%,Kelly Olynyk,NOP,C,craftednba,2024-25
24,66.1,58.3,0.1 56%,Zion Williamson,NOP,PF,craftednba,2024-25
28,65.9,41.5,1.4 86%,Brandon Clarke,MEM,PF,craftednba,2024-25
24,65.7,36.8,-1 18%,Isaac Jones,SAC,PF,craftednba,2024-25
23,65.5,67.6,-0.4 45%,Patrick Williams,CHI,SF,craftednba,2024-25
29,65.2,45.7,2.3 96%,Kristaps Porziņģis,BOS,C,craftednba,2024-25
34,65.0,57.3,4.5 100%,Draymond Green,GSW,PF,craftednba,2024-25
23,64.8,61.0,0.9 79%,Franz Wagner,ORL,SF,craftednba,2024-25
33,64.6,36.8,-0.1 52%,Khris Middleton,WAS,SF,craftednba,2024-25
25,64.3,28.8,0.4 66%,Bol Bol,PHX,C,craftednba,2024-25
29,64.1,61.6,-1.3 7%,Zach LaVine,SAC,SG,craftednba,2024-25
23,63.9,49.3,2.2 94%,Evan Mobley,CLE,PF,craftednba,2024-25
26,63.7,54.7,-0.6 23%,Miles Bridges,CHA,SF,craftednba,2024-25
26,63.5,34.5,-1.2 12%,Obi Toppin,IND,PF,craftednba,2024-25
27,63.2,73.8,1.4 85%,OG Anunoby,NYK,SF,craftednba,2024-25
25,63.0,44.1,-0.8 22%,Tyrese Martin,BKN,SG,craftednba,2024-25
23,62.8,17.7,-0.2 45%,Marcus Bagley,PHI,SF,craftednba,2024-25
25,62.6,51.3,2.1 93%,Jaren Jackson Jr.,MEM,PF,craftednba,2024-25
28,62.3,49.7,-0.2 47%,D'Angelo Russell,BKN,PG,craftednba,2024-25
23,62.1,54.6,0.3 65%,Pelle Larsson,MIA,SG,craftednba,2024-25
24,61.9,17.6,-0.1 44%,Colin Castleton,,C,craftednba,2024-25
30,61.7,54.9,-0.2 46%,Caris LeVert,ATL,SF,craftednba,2024-25
27,61.4,57.6,2.3 98%,Matisse Thybulle,POR,SF,craftednba,2024-25
22,61.2,30.1,1.8 91%,Mouhamed Gueye,ATL,C,craftednba,2024-25
20,61.0,31.8,-1.3 17%,Rayan Rupert,POR,SG,craftednba,2024-25
31,60.8,49.3,-0.7 27%,Buddy Hield,GSW,SG,craftednba,2024-25
22,60.5,39.7,-1.8 3%,Jaden Hardy,DAL,SG,craftednba,2024-25
28,60.3,37.2,-0.7 28%,Shake Milton,LAL,SG,craftednba,2024-25
27,60.1,55.0,-1.2 15%,Jamal Murray,DEN,PG,craftednba,2024-25
21,59.9,44.2,-2.1 4%,Shaedon Sharpe,POR,SG,craftednba,2024-25
23,59.6,73.3,0.1 59%,Jaylen Clark,MIN,SG,craftednba,2024-25
24,59.4,33.3,-0.5 34%,Terrence Shannon Jr.,MIN,SG,craftednba,2024-25
21,59.2,59.3,1.7 89%,Brandin Podziemski,GSW,SG,craftednba,2024-25
29,59.0,35.5,2.4 95%,Luke Kornet,BOS,C,craftednba,2024-25
26,58.7,60.8,-2.7 1%,Collin Sexton,UTA,PG,craftednba,2024-25
27,58.5,41.2,-0.8 25%,Jeff Dowtin Jr.,PHI,PG,craftednba,2024-25
22,58.3,45.4,-2.6 1%,Jordan Hawkins,NOP,SG,craftednba,2024-25
28,58.1,56.0,-1.9 3%,Devin Booker,PHX,SG,craftednba,2024-25
21,57.8,73.2,-0.6 24%,Max Christie,DAL,SG,craftednba,2024-25
27,57.6,42.8,0.1 59%,Sam Hauser,BOS,SF,craftednba,2024-25
38,57.4,41.9,1.3 83%,Kyle Lowry,PHI,PG,craftednba,2024-25
23,57.2,46.0,-1.8 5%,LaMelo Ball,CHA,PG,craftednba,2024-25
24,57.0,87.2,-0.1 52%,Vince Williams Jr.,MEM,SG,craftednba,2024-25
22,56.7,41.7,0.9 74%,Jaden Springer,UTA,SG,craftednba,2024-25
30,56.5,48.2,2.3 96%,Giannis Antetokounmpo,MIL,PF,craftednba,2024-25
22,56.3,34.6,0.4 63%,Colby Jones,WAS,SG,craftednba,2024-25
32,56.1,51.2,1.6 86%,Tobias Harris,DET,PF,craftednba,2024-25
23,55.8,69.0,-0.7 26%,Brandon Boston Jr.,NOP,SG,craftednba,2024-25
23,55.6,51.6,0.2 64%,Jake LaRavia,SAC,SF,craftednba,2024-25
27,55.4,56.3,0.7 72%,Trevelin Queen,ORL,SG,craftednba,2024-25
25,55.2,61.4,-0.4 38%,Aaron Nesmith,IND,SF,craftednba,2024-25
26,54.9,49.2,0.2 63%,Kevin Huerter,CHI,SG,craftednba,2024-25
28,54.7,47.1,1.7 87%,John Konchar,MEM,SF,craftednba,2024-25
39,54.5,42.0,0.8 74%,Chris Paul,SAS,PG,craftednba,2024-25
21,54.3,42.8,-0.6 24%,Kyle Filipowski,UTA,PF,craftednba,2024-25
32,54.0,64.7,-0.9 17%,Malcolm Brogdon,WAS,PG,craftednba,2024-25
28,53.8,69.0,0 57%,Max Strus,CLE,SG,craftednba,2024-25
31,53.6,82.3,-1.6 9%,Bradley Beal,PHX,SG,craftednba,2024-25
21,53.4,35.8,-0.9 10%,Jalen Hood-Schifino,PHI,PG,craftednba,2024-25
33,53.1,53.2,-1.8 4%,CJ McCollum,NOP,SG,craftednba,2024-25
21,52.9,71.9,1.5 86%,Cason Wallace,OKC,PG,craftednba,2024-25
27,52.7,41.8,-0.4 36%,Ty Jerome,CLE,PG,craftednba,2024-25
26,52.5,62.1,-1 17%,Austin Reaves,LAL,SG,craftednba,2024-25
27,52.2,46.4,-0.7 25%,Brandon Ingram,TOR,SF,craftednba,2024-25
24,52.0,41.3,0.2 55%,Vít Krejčí,ATL,SF,craftednba,2024-25
24,51.8,68.4,-1 11%,Damion Baugh,CHA,SG,craftednba,2024-25
24,51.6,56.7,-1.7 6%,Tyrese Maxey,PHI,PG,craftednba,2024-25
27,51.3,55.7,-1.2 11%,Amir Coffey,LAC,SF,craftednba,2024-25
