AGE,VersatilityRating,MatchupDifficulty,CraftedDPM,PLAYER_NAME,TEAM_ABBREVIATION,POSITION,source,season
25,51.1,33.0,-2.6 1%,Corey Kispert,WAS,SF,craftednba,2024-25
30,50.9,44.5,0 51%,Elfrid Payton,NOP,PG,craftednba,2024-25
26,50.7,61.9,0.1 53%,Desmond Bane,MEM,SG,craftednba,2024-25
22,50.4,23.4,-0.6 34%,Caleb Houstan,ORL,SG,craftednba,2024-25
24,50.2,15.3,-0.1 57%,Baylor Scheierman,BOS,SG,craftednba,2024-25
31,50.0,41.5,-1.1 14%,Vasilije Micić,PHX,PG,craftednba,2024-25
30,49.8,56.2,-0.7 28%,Julius Randle,MIN,PF,craftednba,2024-25
24,49.6,59.3,-0.9 15%,Quentin Grimes,PHI,SG,craftednba,2024-25
20,49.3,62.1,-1.3 9%,Isaiah Collier,UTA,PG,craftednba,2024-25
24,49.1,54.1,-1.7 8%,RJ Barrett,TOR,SF,craftednba,2024-25
21,48.9,63.1,1.2 85%,Anthony Black,ORL,PG,craftednba,2024-25
35,48.7,35.7,-1 16%,DeMar DeRozan,SAC,SF,craftednba,2024-25
21,48.4,29.0,-2.2 2%,Malaki Branham,SAS,SG,craftednba,2024-25
24,48.2,38.9,-0.6 29%,Jared Butler,PHI,SG,craftednba,2024-25
22,48.0,59.9,0.6 76%,Dalen Terry,CHI,SG,craftednba,2024-25
25,47.8,41.1,0 52%,Jalen Pickett,DEN,PG,craftednba,2024-25
32,47.5,39.4,-0.1 54%,Bogdan Bogdanović,LAC,SG,craftednba,2024-25
28,47.3,42.1,0.2 66%,Donovan Mitchell,CLE,SG,craftednba,2024-25
30,47.1,49.2,0.4 69%,Pascal Siakam,IND,PF,craftednba,2024-25
22,46.9,33.3,0.4 68%,Ajay Mitchell,OKC,SG,craftednba,2024-25
22,46.6,52.3,-1.2 14%,Brandon Miller,CHA,SF,craftednba,2024-25
20,46.4,44.5,-1.7 5%,Scoot Henderson,POR,PG,craftednba,2024-25
32,46.2,66.9,-0.5 38%,Kyrie Irving,DAL,PG,craftednba,2024-25
27,46.0,78.1,1.9 91%,Lonzo Ball,CHI,PG,craftednba,2024-25
24,45.7,93.7,0 56%,Josh Green,CHA,SG,craftednba,2024-25
20,45.5,48.3,-2.7 4%,Nick Smith Jr.,CHA,SG,craftednba,2024-25
22,45.3,70.3,-0.6 24%,Keon Johnson,BKN,SG,craftednba,2024-25
28,45.1,66.3,0.2 59%,Gabe Vincent,LAL,SG,craftednba,2024-25
30,44.8,64.2,1.6 88%,Derrick White,BOS,SG,craftednba,2024-25
25,44.6,51.1,0 67%,AJ Green,MIL,SG,craftednba,2024-25
21,44.4,95.6,1.8 91%,Dyson Daniels,ATL,SG,craftednba,2024-25
25,44.2,43.3,-2.4 2%,Anfernee Simons,POR,PG,craftednba,2024-25
22,43.9,53.2,-1.5 8%,Bennedict Mathurin,IND,SF,craftednba,2024-25
25,43.7,38.7,-1.7 5%,Jordan Poole,WAS,SG,craftednba,2024-25
28,43.5,33.0,-0.3 40%,Pat Spencer,GSW,SG,craftednba,2024-25
28,43.3,84.0,-0.8 22%,Dejounte Murray,NOP,PG,craftednba,2024-25
22,43.0,48.4,-1.7 5%,Jalen Green,HOU,SG,craftednba,2024-25
31,42.6,48.4,-0.3 46%,Norman Powell,LAC,SG,craftednba,2024-25
25,42.4,42.9,-1.9 4%,Coby White,CHI,PG,craftednba,2024-25
27,42.2,51.4,-0.2 40%,Lindy Waters III,DET,SG,craftednba,2024-25
36,41.9,49.9,-0.4 39%,Kevin Durant,PHX,PF,craftednba,2024-25
36,41.7,40.9,-0.9 20%,Stephen Curry,GSW,PG,craftednba,2024-25
32,41.5,53.9,-2.5 1%,Jordan Clarkson,UTA,SG,craftednba,2024-25
22,41.3,48.4,-0.6 30%,Paolo Banchero,ORL,PF,craftednba,2024-25
26,41.0,64.9,0.2 62%,Grant Williams,CHA,PF,craftednba,2024-25
29,40.8,44.7,-0.7 23%,Grayson Allen,PHX,SG,craftednba,2024-25
24,40.6,53.7,-1.3 10%,Devin Vassell,SAS,SG,craftednba,2024-25
23,40.4,92.7,0 42%,Andre Jackson Jr.,MIL,SF,craftednba,2024-25
20,40.1,18.1,-0.9 12%,Dariq Whitehead,BKN,SG,craftednba,2024-25
22,39.9,52.6,-1.2 11%,KJ Simpson,CHA,PG,craftednba,2024-25
24,39.5,22.8,-0.3 42%,A.J. Lawson,TOR,SG,craftednba,2024-25
26,39.2,55.1,-0.6 34%,Quenton Jackson,IND,PG,craftednba,2024-25
25,39.0,37.9,0.1 60%,Isaiah Joe,OKC,SG,craftednba,2024-25
21,38.8,28.3,-1 14%,Jett Howard,ORL,SF,craftednba,2024-25
23,38.6,76.8,2.2 93%,Jalen Suggs,ORL,PG,craftednba,2024-25
20,38.3,37.5,0.2 56%,Reed Sheppard,HOU,PG,craftednba,2024-25
33,38.1,27.1,-2.2 2%,Doug McDermott,SAC,SF,craftednba,2024-25
25,37.9,58.3,0.1 48%,Ja Morant,MEM,PG,craftednba,2024-25
30,37.7,32.2,-0.7 25%,Duncan Robinson,MIA,SF,craftednba,2024-25
29,37.4,39.1,-0.1 47%,Bobby Portis,MIL,PF,craftednba,2024-25
24,37.2,26.8,-0.6 21%,Keion Brooks Jr.,NOP,SF,craftednba,2024-25
22,37.0,33.8,-1.7 6%,Julian Strawther,DEN,SF,craftednba,2024-25
32,36.8,60.2,-1.1 10%,Tim Hardaway Jr.,DET,SG,craftednba,2024-25
23,36.5,50.9,-0.9 20%,Tre Mann,CHA,PG,craftednba,2024-25
23,36.3,84.4,0 58%,Christian Braun,DEN,SF,craftednba,2024-25
21,36.1,50.3,-1.8 6%,Gradey Dick,TOR,SG,craftednba,2024-25
27,35.9,65.4,-0.6 29%,De'Aaron Fox,SAS,PG,craftednba,2024-25
20,35.7,87.8,-1.9 3%,Stephon Castle,SAS,SG,craftednba,2024-25
28,35.4,82.6,-0.2 45%,Mikal Bridges,NYK,SF,craftednba,2024-25
20,35.2,13.4,0.6 70%,Johnny Furphy,IND,SF,craftednba,2024-25
28,35.0,43.5,0.2 56%,Donte DiVincenzo,MIN,SG,craftednba,2024-25
26,34.8,65.2,0.7 73%,Nickeil Alexander-Walker,MIN,SG,craftednba,2024-25
25,34.5,79.2,-1 15%,Ayo Dosunmu,CHI,SG,craftednba,2024-25
25,34.3,42.7,0.2 62%,Precious Achiuwa,NYK,PF,craftednba,2024-25
19,34.1,58.8,-0.4 35%,Bub Carrington,WAS,SG,craftednba,2024-25
24,33.9,25.1,-1.4 9%,Antonio Reeves,NOP,SG,craftednba,2024-25
22,33.6,55.3,3.2 99%,Chet Holmgren,OKC,C,craftednba,2024-25
37,33.4,50.0,1.2 82%,Mike Conley,MIN,PG,craftednba,2024-25
28,33.2,34.1,-0.5 32%,Garrison Mathews,ATL,SG,craftednba,2024-25
28,33.0,39.4,-1.5 7%,Jalen Brunson,NYK,PG,craftednba,2024-25
24,32.7,35.3,-0.4 37%,Craig Porter Jr.,CLE,PG,craftednba,2024-25
33,32.5,38.4,0.2 60%,Alec Burks,MIA,SG,craftednba,2024-25
25,32.3,55.6,-0.2 30%,Collin Gillespie,PHX,PG,craftednba,2024-25
32,32.1,88.1,1.3 84%,Gary Payton II,GSW,SG,craftednba,2024-25
34,31.8,44.9,-1 19%,Damian Lillard,MIL,PG,craftednba,2024-25
31,31.6,76.8,1.8 91%,Kentavious Caldwell-Pope,ORL,SG,craftednba,2024-25
23,31.4,44.3,0.1 65%,Reece Beekman,BKN,PG,craftednba,2024-25
28,31.2,44.6,0.8 76%,Sam Merrill,CLE,SG,craftednba,2024-25
33,30.9,35.8,2.2 92%,Dwight Powell,DAL,C,craftednba,2024-25
28,30.7,52.2,-0.7 22%,Malik Beasley,DET,SG,craftednba,2024-25
29,30.5,26.3,0.9 77%,Jock Landale,HOU,C,craftednba,2024-25
36,30.3,39.9,-0.4 37%,Patty Mills,LAC,PG,craftednba,2024-25
30,30.0,74.0,1.9 91%,Fred VanVleet,HOU,PG,craftednba,2024-25
24,29.8,58.2,0.8 73%,Miles McBride,NYK,PG,craftednba,2024-25
32,29.6,45.8,1.2 82%,Larry Nance Jr.,ATL,C,craftednba,2024-25
23,29.4,50.0,0.6 71%,Moussa Diabaté,CHA,C,craftednba,2024-25
25,29.1,42.8,-1.4 11%,Tyler Herro,MIA,SG,craftednba,2024-25
24,28.7,49.4,0.4 66%,Cole Anthony,ORL,PG,craftednba,2024-25
34,28.5,40.5,-0.6 29%,Seth Curry,CHA,SG,craftednba,2024-25
26,28.3,66.7,1 72%,Jose Alvarado,NOP,PG,craftednba,2024-25
25,28.0,56.9,-0.9 16%,Darius Garland,CLE,PG,craftednba,2024-25
22,27.8,75.9,-1.8 5%,Jaden Ivey,DET,SG,craftednba,2024-25
23,27.6,53.1,1.8 90%,Jalen Johnson,ATL,PF,craftednba,2024-25
28,27.4,49.2,0.6 70%,Aaron Holiday,HOU,PG,craftednba,2024-25
29,27.1,38.2,-0.2 43%,Monté Morris,PHX,PG,craftednba,2024-25
27,26.9,53.8,-0.4 40%,Payton Pritchard,BOS,PG,craftednba,2024-25
28,26.7,39.8,-1.2 13%,Luke Kennard,MEM,SG,craftednba,2024-25
22,26.5,40.5,1.4 84%,Alperen Sengun,HOU,C,craftednba,2024-25
26,26.2,49.3,-1 13%,Malik Monk,SAC,SG,craftednba,2024-25
28,26.0,29.8,-0.8 20%,Duop Reath,POR,C,craftednba,2024-25
21,25.8,44.7,0.4 64%,Blake Wesley,SAS,PG,craftednba,2024-25
30,25.6,61.2,-1.1 15%,Terry Rozier,MIA,PG,craftednba,2024-25
26,25.3,35.6,-2.5 1%,Trae Young,ATL,PG,craftednba,2024-25
31,25.1,77.9,-0.7 26%,Dennis Schröder,DET,PG,craftednba,2024-25
21,24.9,96.4,-1.3 12%,Jaylen Wells,MEM,SF,craftednba,2024-25
20,24.7,29.6,-0.8 11%,AJ Johnson,WAS,SG,craftednba,2024-25
32,24.4,48.3,2 92%,Delon Wright,NYK,PG,craftednba,2024-25
27,24.2,37.9,-0.4 41%,Landry Shamet,NYK,SG,craftednba,2024-25
20,24.0,47.3,-0.7 33%,Ja'Kobe Walter,TOR,PG,craftednba,2024-25
23,23.8,27.3,-1.5 8%,Jamison Battle,TOR,SF,craftednba,2024-25
30,23.5,28.8,-0.2 55%,Cameron Payne,NYK,PG,craftednba,2024-25
25,23.3,48.5,-0.7 26%,Brandon Williams,DAL,PG,craftednba,2024-25
26,23.1,35.8,-1.5 7%,Lonnie Walker IV,PHI,SG,craftednba,2024-25
30,22.9,53.7,1.1 81%,Gary Harris,ORL,SG,craftednba,2024-25
29,22.6,50.2,-0.9 19%,Guerschon Yabusele,PHI,PF,craftednba,2024-25
26,22.4,31.0,0.2 66%,Jay Huff,MEM,C,craftednba,2024-25
25,22.2,63.6,0.4 68%,Tre Jones,CHI,PG,craftednba,2024-25
21,22.0,8.8,-0.2 31%,Tristan Vukcevic,WAS,C,craftednba,2024-25
22,21.7,46.5,1.3 84%,Oso Ighodaro,PHX,C,craftednba,2024-25
33,21.5,48.8,-0.1 55%,Cory Joseph,ORL,PG,craftednba,2024-25
24,21.3,33.6,-0.2 49%,Tyrese Haliburton,IND,PG,craftednba,2024-25
25,21.1,86.1,2.2 95%,Keon Ellis,SAC,SG,craftednba,2024-25
28,20.9,61.3,-2 4%,Tyus Jones,PHX,PG,craftednba,2024-25
26,20.6,39.0,1.1 80%,Mo Bamba,,C,craftednba,2024-25
27,20.4,62.0,1.3 84%,Dru Smith,MIA,SG,craftednba,2024-25
23,20.2,69.3,-0.6 35%,Ben Sheppard,IND,SG,craftednba,2024-25
21,20.0,29.2,-0.4 42%,Dominick Barlow,ATL,PF,craftednba,2024-25
36,19.7,46.1,0.5 69%,Kevin Love,MIA,PF,craftednba,2024-25
25,19.5,54.5,-0.1 51%,Immanuel Quickley,TOR,PG,craftednba,2024-25
20,19.3,60.4,2.5 97%,Dereck Lively II,DAL,C,craftednba,2024-25
22,19.1,61.2,-0.1 61%,Devin Carter,SAC,SG,craftednba,2024-25
20,18.8,39.7,-1.6 8%,Rob Dillingham,MIN,PG,craftednba,2024-25
24,18.6,74.9,1.8 90%,Scotty Pippen Jr.,MEM,PG,craftednba,2024-25
24,18.4,34.1,-0.6 35%,Quinten Post,GSW,C,craftednba,2024-25
24,18.2,53.8,-0.2 46%,Isaiah Wong,,SG,craftednba,2024-25
26,17.9,96.1,0.5 73%,Davion Mitchell,MIA,PG,craftednba,2024-25
27,17.7,34.3,0.4 68%,Moritz Wagner,ORL,C,craftednba,2024-25
32,17.5,50.4,-0.3 45%,T.J. McConnell,IND,PG,craftednba,2024-25
25,17.3,53.3,0 64%,Keaton Wallace,ATL,PG,craftednba,2024-25
25,17.0,100.0,0.6 71%,Andrew Nembhard,IND,PG,craftednba,2024-25
23,16.8,44.1,0.5 66%,Mark Williams,CHA,C,craftednba,2024-25
29,16.4,58.3,0.3 62%,Jevon Carter,CHI,PG,craftednba,2024-25
24,16.1,27.6,1.3 85%,Christian Koloko,LAL,C,craftednba,2024-25
22,15.9,57.4,-1.3 12%,Jamal Shead,TOR,PG,craftednba,2024-25
21,15.7,35.2,0.7 78%,Adem Bona,PHI,C,craftednba,2024-25
24,15.5,27.0,-0.8 23%,Cam Spencer,MEM,SG,craftednba,2024-25
30,15.2,40.4,2.2 95%,Joel Embiid,PHI,C,craftednba,2024-25
22,15.0,27.8,1.7 90%,Jaylin Williams,OKC,C,craftednba,2024-25
25,14.8,55.7,1.9 91%,Wendell Carter Jr.,ORL,C,craftednba,2024-25
24,14.6,42.8,2.1 92%,Jaxson Hayes,LAL,C,craftednba,2024-25
27,14.3,47.7,2.4 96%,Robert Williams III,POR,C,craftednba,2024-25
24,14.1,23.0,0.1 56%,Orlando Robinson,TOR,C,craftednba,2024-25
27,13.9,60.6,2 93%,Bam Adebayo,MIA,C,craftednba,2024-25
24,13.7,28.5,0.3 65%,Kai Jones,DAL,C,craftednba,2024-25
28,13.5,28.2,1.2 83%,Jordan McLaughlin,SAS,PG,craftednba,2024-25
23,13.2,17.8,-0.6 36%,Tyler Kolek,NYK,PG,craftednba,2024-25
22,13.0,46.8,1.7 87%,Ryan Rollins,MIL,PG,craftednba,2024-25
33,12.8,10.4,0.4 71%,Tristan Thompson,CLE,C,craftednba,2024-25
31,12.6,56.4,3.1 98%,Anthony Davis,DAL,C,craftednba,2024-25
31,12.3,36.9,1.7 90%,Steven Adams,HOU,C,craftednba,2024-25
24,12.1,47.0,-0.4 33%,Marcus Sasser,DET,PG,craftednba,2024-25
25,11.9,26.2,-0.1 48%,Trey Jemison,,C,craftednba,2024-25
23,11.7,34.9,0.2 61%,Karlo Matković,NOP,C,craftednba,2024-25
24,11.2,39.1,0.1 60%,Jalen Smith,CHI,PF,craftednba,2024-25
24,11.0,44.7,0.7 73%,Charles Bassey,SAS,C,craftednba,2024-25
28,10.8,50.8,2.1 95%,Kevon Looney,GSW,C,craftednba,2024-25
24,10.5,52.5,0.8 76%,Onyeka Okongwu,ATL,C,craftednba,2024-25
25,10.3,35.4,2.5 97%,Paul Reed,DET,PF,craftednba,2024-25
27,10.1,52.4,-0.5 23%,Nick Richards,PHX,C,craftednba,2024-25
25,9.9,33.4,0.1 58%,Marvin Bagley III,MEM,PF,craftednba,2024-25
26,9.6,54.5,2.3 94%,Jarrett Allen,CLE,C,craftednba,2024-25
27,9.4,36.4,0.9 75%,Drew Eubanks,LAC,C,craftednba,2024-25
26,9.2,55.9,3 99%,Isaiah Hartenstein,OKC,C,craftednba,2024-25
23,9.0,42.6,1.4 86%,Day'Ron Sharpe,BKN,C,craftednba,2024-25
23,8.7,66.3,1.8 89%,Walker Kessler,UTA,C,craftednba,2024-25
39,8.5,33.2,1 78%,Taj Gibson,CHA,C,craftednba,2024-25
26,8.3,56.6,1 77%,Daniel Gafford,DAL,C,craftednba,2024-25
20,8.1,56.4,-1.4 42%,Yves Missi,NOP,C,craftednba,2024-25
26,7.8,31.1,0.8 75%,Jericho Sims,MIL,C,craftednba,2024-25
27,7.6,53.9,3.1 99%,Ivica Zubac,LAC,C,craftednba,2024-25
20,7.4,39.9,2.2 97%,Donovan Clingan,POR,C,craftednba,2024-25
21,7.2,55.2,4 100%,Victor Wembanyama,SAS,C,craftednba,2024-25
34,7.0,51.1,1.5 85%,Mason Plumlee,PHX,C,craftednba,2024-25
27,6.7,45.3,1.3 84%,Zach Collins,CHI,C,craftednba,2024-25
36,6.5,48.9,2.7 96%,Brook Lopez,MIL,C,craftednba,2024-25
25,6.3,43.6,2.8 98%,Goga Bitadze,ORL,C,craftednba,2024-25
25,6.1,35.9,-0.3 39%,Oscar Tshiebwe,UTA,C,craftednba,2024-25
25,5.8,54.1,1.4 85%,Nic Claxton,BKN,C,craftednba,2024-25
32,5.6,39.5,0.4 68%,Daniel Theis,,C,craftednba,2024-25
20,5.4,34.0,1.1 83%,Kel'el Ware,MIA,C,craftednba,2024-25
26,5.2,59.4,0.4 67%,Deandre Ayton,POR,C,craftednba,2024-25
24,4.9,53.8,0.4 65%,Trayce Jackson-Davis,GSW,C,craftednba,2024-25
29,4.7,45.4,0.2 64%,Karl-Anthony Towns,NYK,C,craftednba,2024-25
23,4.5,47.6,2.1 94%,Isaiah Stewart,DET,C,craftednba,2024-25
19,4.3,55.5,-0.3 36%,Alex Sarr,WAS,PF,craftednba,2024-25
30,4.0,55.7,3.2 99%,Jusuf Nurkić,CHA,C,craftednba,2024-25
22,3.8,43.4,0.7 81%,Zach Edey,MEM,C,craftednba,2024-25
29,3.6,45.6,2.2 93%,Nikola Jokić,DEN,C,craftednba,2024-25
21,3.4,53.1,1.1 77%,Jalen Duren,DET,C,craftednba,2024-25
36,3.1,33.2,0.9 80%,DeAndre Jordan,DEN,C,craftednba,2024-25
29,3.0,48.0,1.2 81%,Jakob Pöltl,,C,craftednba,2024-25
31,2.9,45.2,0.4 69%,Andre Drummond,PHI,C,craftednba,2024-25
31,2.7,26.2,1.1 80%,Alex Len,LAL,C,craftednba,2024-25
32,2.5,48.1,3.8 99%,Rudy Gobert,MIN,C,craftednba,2024-25
26,2.2,30.5,2.1 93%,Mitchell Robinson,NYK,C,craftednba,2024-25
32,2.0,46.1,-0.2 38%,Jonas Valančiūnas,SAC,C,craftednba,2024-25
29,1.8,61.5,2.4 96%,Jakob Poeltl,TOR,C,craftednba,2024-25
32,1.6,28.6,0.9 80%,Bismack Biyombo,SAS,C,craftednba,2024-25
27,1.3,37.9,0 48%,Thomas Bryant,IND,C,craftednba,2024-25
34,1.1,50.6,-0.5 39%,Nikola Vučević,CHI,C,craftednba,2024-25
28,0.9,55.7,0.9 73%,Domantas Sabonis,SAC,C,craftednba,2024-25
28,0.7,47.6,1.7 89%,Myles Turner,IND,C,craftednba,2024-25
30,0.4,52.7,1.3 85%,Clint Capela,ATL,C,craftednba,2024-25
31,0.2,32.3,0.8 74%,Richaun Holmes,WAS,C,craftednba,2024-25
