SEASON,TAX_THRESHOLD,LEAGUE_YEAR,FREE_AGENCY,START_DATE,TRADE_DEADLINE,END_DATE
2025-26,187895000,2025-06-30,2025-07-01,2025-10-21,2026-02-05,2026-04-12
2024-25,170814000,2024-06-30,2024-07-01,2024-10-22,2025-02-06,2025-04-13
2023-24,165294000,2023-06-30,2023-07-01,2023-10-24,2024-02-08,2024-04-14
2022-23,150267000,2022-06-30,2022-07-01,2022-10-17,2023-02-09,2023-04-10
2021-22,136606000,2021-08-01,2021-08-01,2021-10-19,2022-02-10,2022-04-10
2020-21,132627000,2020-11-20,2020-11-20,2020-12-22,2021-02-06,2021-05-16
2019-20,132627000,2019-06-30,2019-06-30,2019-10-22,2020-02-06,2020-04-15
2018-19,123733000,2017-07-01,2018-07-06,2018-10-16,2019-02-07,2019-04-10
2017-18,119266000,2017-07-01,2017-07-06,2017-10-17,2018-02-08,2018-04-11
2016-17,113287000,2016-07-01,2016-07-07,2016-10-25,2017-02-23,2017-04-12
2015-16,84740000,2015-07-01,2015-07-09,2015-10-27,2016-02-18,2016-04-13
2014-15,76829000,2014-07-01,2014-07-10,2014-10-28,2015-02-19,2015-04-15
2013-14,71748000,2013-07-01,2013-07-10,2013-10-29,2014-02-20,2014-04-16
2012-13,70307000,2012-07-01,2012-07-01,2012-10-30,2013-02-21,2013-04-17
2011-12,70307000,2011-12-08,2011-12-08,2011-12-25,2012-03-15,2012-04-26